MAC адрес,Производитель,Сила сигнала (dBm),Время последнего обнаружения,Канал
9A:80:BB:92:4F:BE,locally administered,-63,2025-12-10 15:00:04.446,10
BE:3F:86:CF:D1:CF,locally administered,-85,2025-12-10 15:00:06.179,10
BA:31:34:4B:D1:5A,locally administered,-81,2025-12-10 15:00:06.513,10
AE:8B:E7:F0:C2:C9,locally administered,-83,2025-12-10 15:00:08.313,10
96:6F:77:90:EA:66,locally administered,-71,2025-12-10 15:00:46.138,10
58:2D:34:00:5E:A2,"Qingping Electronics (Suzhou) Co., Ltd",-93,2025-12-10 15:00:51.731,10
EE:99:D9:22:32:0F,locally administered,-75,2025-12-10 15:00:54.406,10
C6:16:15:5D:B7:AD,locally administered,-89,2025-12-10 15:00:56.635,10
2C:57:41:83:32:01,"Cisco Systems, Inc",-75,2025-12-10 15:00:58.869,1
2C:57:41:83:32:02,"Cisco Systems, Inc",-77,2025-12-10 15:00:58.869,1
2C:57:41:83:32:03,"Cisco Systems, Inc",-75,2025-12-10 15:00:58.870,1
2C:57:41:83:32:04,"Cisco Systems, Inc",-77,2025-12-10 15:00:58.870,1
2C:57:41:83:32:05,"Cisco Systems, Inc",-77,2025-12-10 15:00:58.870,1
D6:92:8A:F2:56:55,locally administered,-47,2025-12-10 15:00:58.899,1
60:CE:86:53:C6:96,Sercomm Corporation.,-27,2025-12-10 15:00:59.034,1
16:1E:FA:87:1F:15,locally administered,-91,2025-12-10 15:01:02.431,10
28:E3:47:FE:34:44,Liteon Technology Corporation,-57,2025-12-10 15:01:04.045,1
76:1A:6C:D5:5A:C5,locally administered,-77,2025-12-10 15:01:05.884,1
04:E8:B9:63:67:12,Intel Corporate,-73,2025-12-10 15:01:06.017,1
1A:47:C0:6B:C1:0E,locally administered,-83,2025-12-10 15:01:06.327,10
DE:14:D0:AC:1C:3F,locally administered,-87,2025-12-10 15:01:08.124,1
1A:AD:4B:3B:1A:67,locally administered,-73,2025-12-10 15:01:53.899,6
2C:57:41:83:37:E1,"Cisco Systems, Inc",-63,2025-12-10 15:01:53.940,6
2C:57:41:83:37:E2,"Cisco Systems, Inc",-63,2025-12-10 15:01:53.940,6
2C:57:41:83:37:E3,"Cisco Systems, Inc",-63,2025-12-10 15:01:53.940,6
10:91:D1:45:3D:28,Intel Corporate,-73,2025-12-10 15:01:54.097,6
9E:C4:9B:2D:4A:33,locally administered,-91,2025-12-10 15:01:54.586,6
0E:4A:D2:61:9B:B4,locally administered,-79,2025-12-10 15:01:54.674,1
42:B1:A7:83:59:A2,locally administered,-89,2025-12-10 15:01:54.999,7
42:B1:A7:83:59:9F,locally administered,-89,2025-12-10 15:01:55.012,7
02:41:B1:D6:73:D5,locally administered,-63,2025-12-10 15:01:55.481,7
2C:57:41:82:BD:E3,"Cisco Systems, Inc",-83,2025-12-10 15:01:59.193,11
B8:27:EB:74:F2:6C,Raspberry Pi Foundation,-55,2025-12-10 15:01:59.223,11
F0:1D:2D:49:22:01,"Cisco Systems, Inc",-83,2025-12-10 15:01:59.252,11
F0:1D:2D:49:22:02,"Cisco Systems, Inc",-83,2025-12-10 15:01:59.252,11
2C:57:41:82:BD:E1,"Cisco Systems, Inc",-83,2025-12-10 15:01:59.295,11
2C:57:41:82:BD:E2,"Cisco Systems, Inc",-81,2025-12-10 15:01:59.295,11
F0:1D:2D:49:22:03,"Cisco Systems, Inc",-81,2025-12-10 15:01:59.355,11
42:0A:38:7A:D9:51,locally administered,-75,2025-12-10 15:02:01.401,13
72:11:63:BE:CB:9F,locally administered,-69,2025-12-10 15:02:04.272,1
BA:D2:2A:D5:75:BE,locally administered,-75,2025-12-10 15:02:07.389,2
96:CD:D4:5B:59:4D,locally administered,-87,2025-12-10 15:02:07.596,1
6A:8F:7D:F3:B4:B5,locally administered,-87,2025-12-10 15:02:17.445,10
40:F4:C9:85:5F:E8,FN-LINK TECHNOLOGY Ltd.,-65,2025-12-10 15:02:33.495,5
E8:6F:38:03:A8:21,"CHONGQING FUGUI ELECTRONICS CO.,LTD.",-57,2025-12-10 15:02:36.047,2
28:A0:6B:08:96:4D,Intel Corporate,-35,2025-12-10 15:02:38.106,5
3C:6A:A7:C9:72:32,Intel Corporate,-81,2025-12-10 15:02:56.334,8
60:7E:A4:AD:0B:85,Shanghai Imilab Technology Co.Ltd,-67,2025-12-10 15:02:56.841,6
