2025-12-25 11:08:43 [INFO    ]: Starting TShark worker. (main.py:112)
2025-12-25 11:08:43 [INFO    ]: TShark process started successfully. (main.py:121)
2025-12-25 11:08:44 [INFO    ]: Flushing buffers... (main.py:90)
2025-12-25 11:08:45 [INFO    ]: Buffers flushed successfully. (main.py:97)
2025-12-25 11:08:45 [INFO    ]:          92033 function calls (91179 primitive calls) in 0.498 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.004    0.002 /usr/lib/python3.13/logging/__init__.py:1510(info)
        2    0.000    0.000    0.004    0.002 /usr/lib/python3.13/logging/__init__.py:1641(_log)
      468    0.001    0.000    0.004    0.000 /usr/lib/python3.13/selectors.py:219(_fileobj_lookup)
      234    0.003    0.000    0.003    0.000 /usr/lib/python3.13/os.py:794(encode)
      117    0.000    0.000    0.003    0.000 /usr/lib/python3.13/subprocess.py:2021(_try_wait)
      468    0.003    0.000    0.003    0.000 {built-in method posix.close}
      117    0.003    0.000    0.003    0.000 {built-in method posix.waitpid}
      117    0.002    0.000    0.003    0.000 /usr/lib/python3.13/contextlib.py:145(__exit__)
      234    0.002    0.000    0.003    0.000 /usr/lib/python3.13/contextlib.py:534(callback)
      234    0.003    0.000    0.003    0.000 {method 'release' of '_thread.lock' objects}
      117    0.001    0.000    0.002    0.000 /usr/lib/python3.13/tkinter/ttk.py:1200(get_children)
      525    0.001    0.000    0.002    0.000 /usr/lib/python3.13/tkinter/ttk.py:42(_format_optdict)
      117    0.001    0.000    0.002    0.000 /usr/lib/python3.13/contextlib.py:571(__exit__)
      468    0.001    0.000    0.002    0.000 /usr/lib/python3.13/selectors.py:21(_fileobj_to_fd)
      117    0.002    0.000    0.002    0.000 /usr/lib/python3.13/tkinter/__init__.py:1641(_options)
      234    0.001    0.000    0.002    0.000 /usr/lib/python3.13/posixpath.py:176(dirname)
      117    0.001    0.000    0.002    0.000 /usr/lib/python3.13/selectors.py:336(__init__)
      117    0.001    0.000    0.002    0.000 /usr/lib/python3.13/contextlib.py:303(helper)
      234    0.000    0.000    0.002    0.000 /usr/lib/python3.13/selectors.py:251(unregister)
       58    0.000    0.000    0.002    0.000 /home/kali/PycharmProjects/tShark/main.py:29(cached_lookup_vendor_db)
